HUC Name,HUC Code,Installed BMPs,Active BMPs,Installed Acres,Active Acres,Sediment Reduction (tons),Phosphorus Reduction (lbs.),Nitrogen Reduction (lbs.),Most Frequent BMP,x,y
Star Creek-Mud Creek,051202010403,0,1,0,27.2,53.7765077502,72.6465799436,145.153473929,N/a,,
Polecat Creek-Pipe Creek,051202010404,0,0,0,0,0,0,0,N/a,,
Lilly Creek-Pipe Creek,051202010405,4,4,183.9,183.9,289.349404528,373.611535517,746.647914874,Cover Crop,,
Swanfelt Ditch-Pipe Creek,051202010406,3,3,26.8,26.8,60.3761846006,79.4434145608,158.748651689,Forage and Biomass Planting,,
Shell Cemetary-Pipe Creek,051202010407,1,4,73.9,81.91,123.858015005,159.311901241,318.382362841,Cover Crop,,
Todd Ditch-Duck Creek,051202010501,0,0,0,0,0,0,0,N/a,,
Little Duck Creek-Big Duck Creek,051202010502,0,0,0,0,0,0,0,N/a,,
Polywog Creek-Duck Creek,051202010503,0,1,0,3.4,8.18830906669,10.7159902265,21.4136184839,N/a,,
Bear Creek,051202010504,1,3,1,4.31496786042,7.60129124306,8.84049651154,17.6736034307,Pollinator Habitat,,
Lamberson Ditch-Duck Creek,051202010505,0,1,0,1.3,1.55206341208,1.77510529222,3.54903455586,N/a,,
Prairie Creek,051202010601,6,10,261.1,268.5,490.135711538,874.589774715,1523.30245465,Cover Crop,,
Cox Ditch,051202010602,0,1,0,0.482093663912,82,116,232,N/a,,
Dixon Creek-Cicero Creek,051202010603,0,2,0,3.1,35.2340419744,66.4374714784,123.866342455,N/a,,
Buck Creek-Cicero Creek,051202010604,0,0,0,0,0,0,0,N/a,,
Tobin Ditch-Cicero Creek,051202010605,13,13,896.8,896.8,1185.28382063,1598.21843651,3193.48421367,"Residue and Tillage Management, No-Till",,
Weasel Creek-Cicero Creek,051202010606,0,0,0,0,0,0,0,N/a,,
Teter Branch-Little Cicero Creek,051202010607,0,2,0,0.7,10,10,19.9,N/a,,
Little Cicero Creek,051202010608,0,3,0,1.9160697888,57,57,113,N/a,,
Hinkle Creek,051202010609,0,2,0,6.6,7.17930283605,8.53707633396,17.066140942,N/a,,
Morse Reservoir-Cicero Creek,051202010610,3,7,0.07,0.227488980716,13.0245881242,13.3994625539,29.7047987074,Critical Area Planting,,
Dyers Creek-White River,051202010701,2,3,206.8,206.9,304.56871972,398.175889105,794.700179852,Cover Crop,,
Headwaters Stony Creek,051202010702,2,2,158,158,231.377756678,303.061196564,605.625533479,Cover Crop,,
William Lock Dtich-Stony Creek,051202010703,4,4,33.9,33.9,63.5352283009,81.1056175886,162.120046308,Conservation Cover,,
William Lehr Ditch-Stony Creek,051202010704,0,2,0,0.77479338843,0,5.3,20,N/a,,
Mallory Granger Ditch-White River,051202010705,1,3,0.0179063360882,7.41790633609,29.9072935035,19.3639687569,23.7184659739,Urban: Rain Garden,,
Honey Creek-Fall Creek,051202010801,0,0,0,0,0,0,0,N/a,,
Sly Fork,051202010802,0,0,0,0,0,0,0,N/a,,
Prairie Creek-Fall Creek,051202010804,0,2,0,0.00264003673095,2,2,4,N/a,,
Foster Branch,051202010806,0,0,0,0,0,0,0,N/a,,
Headwaters Mud Creek,051202010901,8,8,334.1,334.1,588.976136895,752.198272655,1504.3536837,Cover Crop,,
Cool Creek,051202011001,0,13,0,351.171573921,119.617053213,182.283438104,1549.54897619,N/a,,
Dixon Branch-Eagle Creek,051202011101,2,2,149.3,149.3,130.116516546,185.13576814,369.862388389,Cover Crop,,
Mounts Run,051202011102,0,1,0,1.69880624426,12,12,24,N/a,,
Finley Creek-Eagle Creek,051202011103,0,4,0,3.1,392.1,392.1,684.2,N/a,,
Lion Creek-Little Eagle Branch,051202011104,1,4,2,3.53213957759,73.1890392276,74.7816447632,148.954026011,Pollinator Habitat,,
Fleugel Ditch-Dausman Ditch,071200010306,7,7,261.3,261.3,350.918705382,397.895642239,799.504184337,Cover Crop,,
Dausman Ditch,071200010308,1,1,37.6,37.6,43.1021047125,50.6066359222,101.761233247,Cover Crop,,
Stone Ditch-Yellow River,071200010310,13,19,553.98,562.667465565,642.606701944,751.09814376,1511.24420228,Cover Crop,,
Town of Argos-Wolf Creek,071200010501,0,0,0,0,0,0,0,N/a,,
Dixon Lake-Yellow River,071200010502,2,2,42,42,86.1836321034,91.6073402961,183.819659002,"Residue and Tillage Management, No-Till",,
Clifton Ditch-Yellow River,071200010503,0,0,0,0,0,0,0,N/a,,
Eagle Creek,071200010504,5,5,72.2945913682,72.2945913682,89.4039098826,103.380950327,207.813903916,Cover Crop,,
Bickle Ditch-Yellow River,071200010505,6,10,223.4,333.4,121.107347681,186.51104656,377.13919584,Cover Crop,,
Cavanaugh Ditch-Yellow River,071200010506,2,2,0.0173094582186,0.0173094582186,0,0,0,Urban: Rain Garden,,
Hook Run-Bogus Run,071200010601,9,13,379.12,397.92,139.713614201,211.65065841,427.340181563,Cover Crop,,
Cedar Lake Ditch-Craigmile Ditch,071200010602,0,1,0,6.9,17,26,53,N/a,,
Craigmile Ditch-Kline Arm,071200010603,2,5,53.2,92.2,36.038588512,53.9271639059,109.010170203,Cover Crop,,
Pine Creek-Bogus Run,071200010604,0,4,0,68.9,28.966777508,44.4427959957,89.8934777586,N/a,,
Laramore Ditch-Kankakee River,071200010705,0,0,0,0,0,0,0,N/a,,
Hanna Arm Tuesburg Ditch,071200010802,1,2,150.8,152.2,154.775102373,185.633222377,373.446304478,Cover Crop,,
Bessler Ditch-Pitner Ditch,071200010805,0,6,0,10.7,79.635073217,113.08534818,226.21255588,N/a,,
Origer Ditch-Kankakee River,071200010806,9,10,320.3,329.9,108.15645777,162.236176367,327.943741854,Cover Crop,,
Rassmussen Ditch-Kankakee River,071200010807,51,62,584.2,633.4,260.992552584,380.219569583,767.913305351,Cover Crop,,
Cook Ditch,071200010808,0,6,0,15.2,103.198084124,146.649618179,290.415303435,N/a,,
Davis Ditch-Kankakee River,071200010809,1,2,18,19.8,24.8454473226,33.2370659861,66.4254480808,Cover Crop,,
Headwaters Wolf Creek,071200010901,0,1,0,2.9,2,3,6,N/a,,
Hickam Lateral-Wolf Creek,071200010902,1,4,41.2,49.7,54.9220944081,75.5206468544,151.050452716,Cover Crop,,
Delehanty Ditch-Hodge Ditch,071200010903,6,7,172.3,176.9,218.300200832,296.957180814,593.43238825,Cover Crop,,
Cook Ditch-Hodge Ditch,071200010904,1,1,40,40,13.3630354475,19.4124622648,39.2119133511,Cover Crop,,
Reeves Ditch,071200011005,2,2,96.2,96.2,112.897795573,141.81589377,284.309035809,Cover Crop,,
Hannon Ditch-Crooked Creek,071200011006,3,3,144.7,144.7,171.825369133,236.082495698,471.698679912,Cover Crop,,
Ahlgrim Ditch,071200011008,0,0,0,0,0,0,0,N/a,,
Cornell Ditch-Phillips Ditch,071200011009,10,31,512.9,535.559090909,1642.13938905,1873.87174174,3745.05297309,Cover Crop,,
Cobb Creek-Kankakee River,071200011010,17,21,662.6,666.9,1444.26358014,1680.81138804,3357.44846375,Cover Crop,,
Dehaan Ditch,071200011101,2,4,58.6,66.2,25.6588302306,36.7309280209,74.1742004835,Cover Crop,,
Wentworth Ditch-Knight Ditch,071200011102,9,10,75.9,78.1,227.210383217,319.81502767,640.12056211,Conservation Cover,,
Brown Levee Ditch-Kankakee River,071200011103,2,3,14.5,32.9,46.8083568814,65.312094255,130.509149462,Forage and Biomass Planting,,
Gregory Ditch-Mud Lake Ditch,071200011201,5,5,188.2,188.2,108.204432561,141.26130664,284.697319956,Cover Crop,,
Mud Lake Ditch-Beaver Lake Ditch,071200011202,0,0,0,0,0,0,0,N/a,,
Lawler Ditch-Beaver Lake Ditch,071200011203,29,34,1133.3,1765.1,1011.13590076,1419.40844634,2851.02736326,"Residue and Tillage Management, No-Till",,
Williams Ditch,071200011204,0,0,0,0,0,0,0,N/a,,
Beaver Lake Ditch-Kankakee River,071200011205,4,6,18.7,18.9,22.6069671224,26.6570385066,54.55989867,Watering Facility,,
Fisher Pond- Stony Run,071200011302,1,9,200,225.220087236,293.345810309,384.890219038,766.382550976,Cover Crop,,
Spring Run,071200011303,0,0,0,0,0,0,0,N/a,,
Greisel Ditch,071200011304,0,0,0,0,0,0,0,N/a,,
Bryant Ditch-Singleton Ditch,071200011305,1,2,50,57.6,62.7099972539,88.7134894738,177.23284374,Cover Crop,,
Cedar Creek,071200011306,0,0,0,0,0,0,0,N/a,,
Brown Ditch,071200011307,1,4,330,332.3,272.787860853,403.757359459,806.506986552,Cover Crop,,
Klaasville-West Creek,071200011309,3,4,445,448.8,401.620746034,584.332188411,1167.27596371,Cover Crop,,
West Creek,071200011310,0,4,0,2.1120523416,23.2,23.2,47.3,N/a,,
Bruce Ditch-Singleton Ditch,071200011311,4,4,302,302,289.54280542,415.093082426,829.24284771,Cover Crop,,
Bull Creek-Singleton Ditch,071200011312,0,0,0,0,0,0,0,N/a,,
Singleton Ditch,071200011313,0,0,0,0,0,0,0,N/a,,
Mirror Lake-Kankakee River,071200011403,0,0,0,0,0,0,0,N/a,,
Ringneck Lake-Oliver Ditch,071200020101,1,6,14.7,29.6,13.3061062636,20.2560883106,41.8325786428,Conservation Cover,,
Lateral No 77 Ditch-Oliver Ditch,071200020102,3,4,2.8,4.4,2.77174143475,3.94488184121,7.96655391261,Early Successional Habitat Development/Management,,
Jungles Ditch-Oliver Ditch,071200020103,1,22,40,98.9,45.2931487258,66.1784559236,133.712539082,Cover Crop,,
Keefe Ditch,071200020201,8,12,892.7,912.3,449.385188731,616.173798662,1243.61244112,Cover Crop,,
Jordan Ditch-Slough Creek,071200020202,8,18,222.5,253.6,85.1054511822,132.049198951,265.276333175,Conservation Cover,,
Nessius Ditch-Bice Ditch,071200020203,9,15,654.2,678.6,396.013075783,559.63127635,1128.65863943,Cover Crop,,
Headwaters Carpenter Creek,071200020204,11,13,318.1,322,409.152651912,541.734803185,1082.61994467,Cover Crop,,
Carpenter Creek,071200020205,17,18,25.9,26.8,48.7347353833,62.3217310607,124.379683514,Early Successional Habitat Development/Management,,
Bice Ditch-Slough Creek,071200020206,1,9,40,56.7,23.1595671324,34.3038573285,69.1967996499,Cover Crop,,
Headwaters Iroquois River,071200020301,1,1,40,40,13.3630354475,19.4124622648,39.2119133511,Cover Crop,,
Iliff Slough Lateral-Ryan Ditch,071200020302,6,8,247.2,252.4,81.8015198357,120.556305478,242.463995524,Cover Crop,,
Dexter Ditch-Iroquois River,071200020303,13,15,60.3,62.6,27.8922765221,37.7913602041,77.2196585948,Conservation Cover,,
Ryan Ditch,071200020304,2,9,55,61.3,76.6827506026,85.7645463404,169.911307009,Cover Crop,,
Moore Ditch-Iroquois River,071200020305,0,3,0,7.13443526171,4,19.55,40.99,N/a,,
Headwaters Curtis Creek,071200020401,16,29,269.4,344.2,329.682720045,806.178849396,4581.55738693,Early Successional Habitat Development/Management,,
Turner Ditch-Iroquois River,071200020402,1,19,144,189.8,140.29398211,174.61031087,354.878039105,Cover Crop,,
Hunter Ditch,071200020403,27,32,1022.9,1033.6,771.005455514,1024.20370831,2056.58724194,Cover Crop,,
Bower Ditch-Darroch Ditch,071200020404,3,6,46.8,53.1,61.332804684,71.9299125892,148.350598047,Conservation Cover,,
Hickory Branch-Iroquois River,071200020405,6,18,284.3,325.620661157,188.672642204,267.62939919,550.825534654,Cover Crop,,
Clark Ditch-Thompson Ditch,071200020501,1,3,40,43.2,19.8317798656,28.476583451,57.3812399231,Cover Crop,,
Whaley Ditch,071200020502,2,3,80,105,52.6635597312,74.953166902,150.762479846,Cover Crop,,
Strole Ditch-Iroquois River,071200020503,1,8,37,47.5,24.6559232234,36.8188193103,74.03483463,Cover Crop,,
Headwaters Montgomery Ditch,071200020504,0,6,0,22.5,81.8546941884,94.6547444515,188.380993016,N/a,,
Kent Ditch-Montgomery Ditch,071200020505,5,5,1009.5,1009.5,1079.80188083,1499.11445264,2995.15938202,Cover Crop,,
Montomery Ditch,071200020506,23,23,1186.1,1186.1,677.109773061,925.677039105,1860.6451218,Cover Crop,,
North Sheldon South Concord Ditch-Iroquois River,071200020507,1,1,40,40,17.8317798656,24.476583451,49.3812399231,Cover Crop,,
Blackstone Branch-Iroquois River,071200020508,0,0,0,0,0,0,0,N/a,,
Upper Sugar Creek-Sugar Creek,071200020701,7,7,334,334,420.356004617,565.729693011,1130.42415658,Cover Crop,,
Coon Creek-Mud Creek,071200020702,29,32,1520.78195592,1524.51811295,2685.36116343,3420.34871586,6834.31314552,Early Successional Habitat Development/Management,,
Kult Ditch-Mud Creek,071200020703,4,5,65.7,68.3,216.283901939,301.212515917,602.266386677,Conservation Cover,,
Cole Creek-Mud Creek,071200020704,0,0,0,0,0,0,0,N/a,,
Yeagers Curve-Sugar Creek,071200020705,6,11,214,220.421395776,388.522665622,484.062285122,966.448100604,Cover Crop,,
Town of Stockland,071200020706,0,0,0,0,0,0,0,N/a,,
Possum Trot Ditch,071200020709,0,0,0,0,0,0,0,N/a,,
Coon Creek,071200020710,1,1,155.2,155.2,159.647978438,224.339277837,448.200819304,Cover Crop,,
Hanger Ditch-Beaver Creek,071200021301,26,27,1133,1133.4,649.202607271,849.651220772,1711.41813837,Cover Crop,,
Deardruff Ditch-Beaver Creek,071200021302,5,5,515,515,271.329627965,360.837846701,727.516631525,Cover Crop,,
Carlson Ditch-Beaver Creek,071200021303,10,11,261.1,271.1,201.561096275,283.759666253,563.503774536,Cover Crop,,
Hooper Branch,071200021304,1,1,40,40,17.8317798656,24.476583451,49.3812399231,Cover Crop,,
North Hooper-Beaver Creek,071200021305,0,0,0,0,0,0,0,N/a,,
Headwaters Little Beaver Creek,071200021306,0,0,0,0,0,0,0,N/a,,
