HU_12_NAME,HUC_12,Inst_BMP,Active_BMP,Inst_Ac,Active_Ac,Sediment,Phosphorus,Nitrogen,Lead_BMP,x,y
Tobin Ditch-Cicero Creek,051202010605,6,7,363,363.59,495,669,1333,Cover Crop,,
Weasel Creek-Cicero Creek,051202010606,0,0,0,0,0,0,0,N/a,,
Teter Branch-Little Cicero Creek,051202010607,9,12,25.05,35.65,252,344,685.9,CREP CP 21 Filter Strips (ft and acres),,
Little Cicero Creek,051202010608,1,4,0.87,2.7860697888,137,137,273,Grassed Waterway,,
Hinkle Creek,051202010609,1,4,0.5,8.1,10.1532203957,11.9217573522,24.8329582951,Conservation Cover,,
Morse Reservoir-Cicero Creek,051202010610,0,9,0,0.977488980716,14.4676550565,15.0798745516,33.064263433,N/a,,
Dyers Creek-White River,051202010701,5,6,99.1,99.2,172,223,445,Cover Crop,,
Headwaters Stony Creek,051202010702,2,2,158,158,231,303,606,Cover Crop,,
William Lock Dtich-Stony Creek,051202010703,0,4,0,5.5,15.2336984748,19.4017508523,38.8026373669,N/a,,
William Lehr Ditch-Stony Creek,051202010704,0,4,0,0.880212121212,8.13201040775,14.534369391,38.6687304295,N/a,,
Mallory Granger Ditch-White River,051202010705,6,9,222.2,229.617906336,377.907293503,483.363968757,950.718465974,Cover Crop,,
Honey Creek-Fall Creek,051202010801,0,0,0,0,0,0,0,N/a,,
Sly Fork,051202010802,0,0,0,0,0,0,0,N/a,,
Prairie Creek-Fall Creek,051202010804,0,2,0,0.00264003673095,2,2,4,N/a,,
Foster Branch,051202010806,1,1,15.4,15.4,336,490,976,CREP CP 21 Filter Strips (ft and acres),,
Headwaters Mud Creek,051202010901,6,9,332.1,336.1,592.882793745,758.065915373,1514.12461243,Cover Crop,,
Cool Creek,051202011001,0,17,0,351.656052342,120.694902599,183.337750701,1551.65775821,N/a,,
Dixon Branch-Eagle Creek,051202011101,2,2,40.8,40.8,58,75,150,Cover Crop,,
Mounts Run,051202011102,5,6,226,227.698806244,215,297,595,Cover Crop,,
Finley Creek-Eagle Creek,051202011103,3,7,149.5,152.6,629.1,692.1,1282.2,Cover Crop,,
Lion Creek-Little Eagle Branch,051202011104,0,5,0,4.03213957759,74.2653254088,76.0595304626,151.508588713,N/a,,
Fleugel Ditch-Dausman Ditch,071200010306,3,3,86,86,126,141,282,Cover Crop,,
Dausman Ditch,071200010308,5,5,182.6,182.6,208,243,490,Cover Crop,,
Stone Ditch-Yellow River,071200010310,5,11,128.2,136.887465565,176.164340508,198.361656503,401.709263374,Cover Crop,,
Town of Argos-Wolf Creek,071200010501,24,24,461.7,461.7,546,636,1278,Cover Crop,,
Dixon Lake-Yellow River,071200010502,2,6,44,51.0062672176,89.7692247232,97.5700951677,195.223942643,Cover Crop,,
Clifton Ditch-Yellow River,071200010503,0,0,0,0,0,0,0,N/a,,
Eagle Creek,071200010504,0,5,0,4.50459136823,1.44782939186,1.89925357178,3.82792381023,N/a,,
Bickle Ditch-Yellow River,071200010505,0,2,0,55,26,43,87,N/a,,
Cavanaugh Ditch-Yellow River,071200010506,0,2,0,0.0173094582186,0,0,0,N/a,,
Hook Run-Bogus Run,071200010601,28,33,334,348.6,152.336546159,227.861431725,462.75735567,Early Successional Habitat Development-Mgt,,
Cedar Lake Ditch-Craigmile Ditch,071200010602,7,11,6.65112488522,60.2511248852,75.1748724658,119.547623307,206.770996765,Watering Facility,,
Craigmile Ditch-Kline Arm,071200010603,6,10,81,141.9,57.2011243928,86.0241050427,170.948249669,Cover Crop,,
Pine Creek-Bogus Run,071200010604,4,7,18.4,39.2,18.6881839637,27.5644470101,57.4464016042,Forage and Biomass Planting,,
Laramore Ditch-Kankakee River,071200010705,3,5,111.1,115.1,146.664762994,200.188691099,400.087885704,Tree/Shrub Establishment,,
Hanna Arm Tuesburg Ditch,071200010802,1,1,150.8,150.8,152,182,367,Cover Crop,,
Bessler Ditch-Pitner Ditch,071200010805,0,2,0,8.7,75,108,216,N/a,,
Origer Ditch-Kankakee River,071200010806,0,1,0,9.6,4.39249317972,6.6297629611,13.4051650089,N/a,,
Rassmussen Ditch-Kankakee River,071200010807,5,26,87,162.4,126.408660185,177.115881361,353.702323484,Cover Crop,,
Cook Ditch,071200010808,5,10,473,485.9,593.761169758,802.602162907,1600.27100526,Cover Crop,,
Davis Ditch-Kankakee River,071200010809,18,19,607.7,609.5,371.553791247,520.70199252,1041.41376117,Cover Crop,,
Headwaters Wolf Creek,071200010901,2,3,13.9,16.8,9,13,27,Conservation Cover,,
Hickam Lateral-Wolf Creek,071200010902,5,14,403.5,474.265748393,230.076626276,339.659095148,682.729774981,Cover Crop,,
Delehanty Ditch-Hodge Ditch,071200010903,13,14,283.2,287.8,252.441729094,345.594689551,695.264593794,Cover Crop,,
Cook Ditch-Hodge Ditch,071200010904,3,3,39,39,26,35,71,Cover Crop,,
Reeves Ditch,071200011005,4,4,195.2,195.2,229,301,601,Cover Crop,,
Hannon Ditch-Crooked Creek,071200011006,7,7,282.3,282.3,323,449,896,Cover Crop,,
Ahlgrim Ditch,071200011008,7,7,370.5,370.5,601,763,1528,"Residue and Tillage Management, Reduced Till",,
Cornell Ditch-Phillips Ditch,071200011009,11,31,535.9,555.259090909,1666.22794158,1905.8910953,3808.75512547,Cover Crop,,
Cobb Creek-Kankakee River,071200011010,20,24,686.1,690.4,1470,1715,3425,Cover Crop,,
Dehaan Ditch,071200011101,2,7,4.3,15.5442607897,10.4211800133,14.3391138071,29.8699450765,Conservation Cover,,
Wentworth Ditch-Knight Ditch,071200011102,14,25,638.4,683.6,529.537081908,722.47737621,1453.14751782,Cover Crop,,
Brown Levee Ditch-Kankakee River,071200011103,3,5,334.4,348.9,117.694679001,172.714894167,347.401909845,Cover Crop,,
Gregory Ditch-Mud Lake Ditch,071200011201,0,0,0,0,0,0,0,N/a,,
Mud Lake Ditch-Beaver Lake Ditch,071200011202,0,0,0,0,0,0,0,N/a,,
Lawler Ditch-Beaver Lake Ditch,071200011203,4,10,34.3,679.7,369.412411217,586.017899394,1172.27165855,Cover Crop,,
Williams Ditch,071200011204,5,5,95.92,95.92,69,89,179,Forage and Biomass Planting,,
Beaver Lake Ditch-Kankakee River,071200011205,0,6,0,18.9,22.6069671224,26.6570385066,54.55989867,N/a,,
Fisher Pond- Stony Run,071200011302,10,18,519.3,544.520087236,634.222734415,865.44773502,1723.11037692,Cover Crop,,
Spring Run,071200011303,1,1,30.6,30.6,33,47,93,Cover Crop,,
Greisel Ditch,071200011304,4,4,262.5,262.5,227,314,628,Cover Crop,,
Bryant Ditch-Singleton Ditch,071200011305,25,25,1426.95,1426.95,1342,1929,3853,Cover Crop,,
Cedar Creek,071200011306,5,5,133.254352617,133.254352617,233,290,578,Cover Crop,,
Brown Ditch,071200011307,0,0,0,0,0,0,0,N/a,,
Klaasville-West Creek,071200011309,10,25,238.7,266.276767677,467.861460309,661.923300793,1321.15689347,Cover Crop,,
West Creek,071200011310,5,9,119.82,121.932052342,136.2,180.2,360.3,Cover Crop,,
Bruce Ditch-Singleton Ditch,071200011311,18,20,398.86,399.26,377.464573774,513.668914802,1026.3363684,Cover Crop,,
Bull Creek-Singleton Ditch,071200011312,2,2,256.16,256.16,102,135,269,Cover Crop,,
Singleton Ditch,071200011313,0,0,0,0,0,0,0,N/a,,
Mirror Lake-Kankakee River,071200011403,0,0,0,0,0,0,0,N/a,,
Ringneck Lake-Oliver Ditch,071200020101,0,6,0,29.6,13.3061062636,20.2560883106,41.8325786428,N/a,,
Lateral No 77 Ditch-Oliver Ditch,071200020102,0,2,0,2.3,1.44807244288,2.06140814086,4.16295978276,N/a,,
Jungles Ditch-Oliver Ditch,071200020103,0,3,0,23.3,11.1693249008,16.769541775,33.9042731348,N/a,,
Keefe Ditch,071200020201,7,13,31.2,64.6,31.7427589761,51.990070171,102.124540098,Early Successional Habitat Development-Mgt,,
Jordan Ditch-Slough Creek,071200020202,9,24,324,376.1,208.593122653,287.836065178,579.012451496,Cover Crop,,
Nessius Ditch-Bice Ditch,071200020203,2,8,12.6,36,168.672441944,259.944326831,522.971615932,Filter Strip,,
Headwaters Carpenter Creek,071200020204,5,10,154.5,168.1,309.237751946,385.860480986,767.825623216,Cover Crop,,
Carpenter Creek,071200020205,4,10,17.4,31.6,35.627221282,46.6636417299,92.0584324476,Conservation Cover,,
Bice Ditch-Slough Creek,071200020206,2,10,3,19.7,11.7965316849,17.8913950637,34.9848862988,Conservation Cover,,
Headwaters Iroquois River,071200020301,0,4,0,16.6,8.72666231612,12.8674661459,26.0050886777,N/a,,
Iliff Slough Lateral-Ryan Ditch,071200020302,2,5,65.1,73.7,25.8888790354,39.550510646,78.1438249838,Conservation Cover,,
Dexter Ditch-Iroquois River,071200020303,0,17,0,67.3,30.5973636543,41.7106772452,85.1375998117,N/a,,
Ryan Ditch,071200020304,0,8,0,7.3,146.054942569,146.71876297,291.180960212,N/a,,
Moore Ditch-Iroquois River,071200020305,8,12,426.3,436.034435262,134.48212917,213.701611019,431.336939731,Cover Crop,,
Headwaters Curtis Creek,071200020401,13,33,145.6,302.5,483.906327838,959.783195566,4889.13363555,Conservation Cover,,
Turner Ditch-Iroquois River,071200020402,5,25,77.9,125.7,133.58304362,158.976318172,324.336675749,Cover Crop,,
Hunter Ditch,071200020403,29,34,744.1,754.8,635.80813666,759.153369504,1525.32932604,Cover Crop,,
Bower Ditch-Darroch Ditch,071200020404,6,10,231.1,240.8,189,230,465,Conservation Cover,,
Hickory Branch-Iroquois River,071200020405,10,23,236.6,298.220661157,170.583866216,245.33308203,507.20262704,Conservation Cover,,
Clark Ditch-Thompson Ditch,071200020501,8,12,153.2,157,157.7,187.7,378.3,Cover Crop,,
Whaley Ditch,071200020502,1,6,118.5,177.3,113.57302651,150.612237096,303.816556773,"Residue and Tillage Management, Reduced Till",,
Strole Ditch-Iroquois River,071200020503,9,18,200,225.9,138.040785119,183.191503448,366.655025975,Cover Crop,,
Headwaters Montgomery Ditch,071200020504,10,16,363.8,386.3,393.854694188,523.654744451,1047.38099302,Cover Crop,,
Kent Ditch-Montgomery Ditch,071200020505,8,9,816.6,819.4,877.11026612,1211.89992033,2420.8518961,Cover Crop,,
Montomery Ditch,071200020506,19,22,758.3,766.6,587,811,1624,Cover Crop,,
North Sheldon South Concord Ditch-Iroquois River,071200020507,1,1,55.4,55.4,24,33,66,Cover Crop,,
Blackstone Branch-Iroquois River,071200020508,0,0,0,0,0,0,0,N/a,,
Upper Sugar Creek-Sugar Creek,071200020701,29,29,754.313774105,754.313774105,1057,1396,2787,Early Successional Habitat Development-Mgt,,
Coon Creek-Mud Creek,071200020702,16,33,390,420.518112948,1652.45309149,1988.16957481,3973.10056062,Early Successional Habitat Development-Mgt,,
Kult Ditch-Mud Creek,071200020703,10,13,337.4,363.4,534.562153391,743.905853817,1487.7942986,Cover Crop,,
Cole Creek-Mud Creek,071200020704,4,4,4.8,4.8,10,14,28,Early Successional Habitat Development-Mgt,,
Yeagers Curve-Sugar Creek,071200020705,3,9,153.6,168.521395776,386.529985153,508.215919944,1015.38887227,Cover Crop,,
Town of Stockland,071200020706,8,8,11.8275482094,11.8275482094,26,34,66,Early Successional Habitat Development-Mgt,,
Possum Trot Ditch,071200020709,0,0,0,0,0,0,0,N/a,,
Coon Creek,071200020710,0,0,0,0,0,0,0,N/a,,
Hanger Ditch-Beaver Creek,071200021301,0,2,0,14.3,8.57456109683,13.2561120009,25.7530424042,N/a,,
Deardruff Ditch-Beaver Creek,071200021302,0,0,0,0,0,0,0,N/a,,
Carlson Ditch-Beaver Creek,071200021303,2,7,6,38.9,63.6702648474,105.678484974,204.619635522,Conservation Cover,,
Hooper Branch,071200021304,0,0,0,0,0,0,0,N/a,,
North Hooper-Beaver Creek,071200021305,0,0,0,0,0,0,0,N/a,,
Headwaters Little Beaver Creek,071200021306,0,0,0,0,0,0,0,N/a,,
