HUC Name,HUC Code,Installed BMPs,Active BMPs,Installed Acres,Active Acres,Sediment Reduction (tons/yr),Phosphorus Reduction (lbs./yr),Nitrogen Reduction (lbs./yr),Most Frequent BMP,x,y
Elm Run-Indian Creek,051202010309,2,4,99.2,100.2,179.093126353,222.65799052,445.022950416,Cover Crop,,
Town of Perkinsville-White River,051202010310,14,21,565,587.4,931.782344507,1195.83870704,2389.88610325,Cover Crop,,
Yeager Finley Menard Ditch-Pipe Creek,051202010401,0,0,0,0,0,0,0,N/a,,
Stem Run-Pipe Creek,051202010402,0,0,0,0,0,0,0,N/a,,
Star Creek-Mud Creek,051202010403,0,2,0,2.7,89,89,178,N/a,,
Polecat Creek-Pipe Creek,051202010404,0,0,0,0,0,0,0,N/a,,
Lilly Creek-Pipe Creek,051202010405,2,5,4.5,21.3,686,916,1824,CREP CP 21 Filter Strips,,
Swanfelt Ditch-Pipe Creek,051202010406,2,7,0.08,26.9511891644,61.4725932956,80.3288124748,160.520995759,Heavy Use Area Protection,,
Shell Cemetary-Pipe Creek,051202010407,0,3,0,8.01,12.8960501422,14.651245408,29.2934047564,N/a,,
Todd Ditch-Duck Creek,051202010501,0,0,0,0,0,0,0,N/a,,
Little Duck Creek-Big Duck Creek,051202010502,0,0,0,0,0,0,0,N/a,,
Polywog Creek-Duck Creek,051202010503,4,4,70,70,108.048,139.848,279.476,Cover Crop,,
Bear Creek,051202010504,1,4,4.1,8.41496786042,15.8274413921,19.8594106915,39.6909801707,Early Successional Habitat Development-Mgt,,
Lamberson Ditch-Duck Creek,051202010505,2,8,11.105578512,19.735578512,19.5520634121,21.7751052922,45.5490345559,CREP CP 31 Bottom Timber Establishment on Wetland,,
Prairie Creek,051202010601,7,12,255.9,265.35,556.20120396,972.1207803,1719.45046336,Cover Crop,,
Cox Ditch,051202010602,0,1,0,0.482093663912,82,116,232,N/a,,
Dixon Creek-Cicero Creek,051202010603,1,1,4.7,4.7,188,274,547,CREP CP 21 Filter Strips,,
Buck Creek-Cicero Creek,051202010604,3,3,2.95,2.95,402,583,1162,CREP CP 21 Filter Strips,,
Tobin Ditch-Cicero Creek,051202010605,1,2,50,50.59,89.944,119.857,238.529,Cover Crop,,
Weasel Creek-Cicero Creek,051202010606,7,7,11.5,11.5,1183,1776,3541,CREP CP 21 Filter Strips,,
Teter Branch-Little Cicero Creek,051202010607,6,14,25,42.45,483.780336548,689.405666379,1372.6612674,CREP CP 21 Filter Strips,,
Little Cicero Creek,051202010608,1,5,3.6,6.3860697888,295,374,746,CREP CP 21 Filter Strips,,
Hinkle Creek,051202010609,1,5,141.1,149.2,160.178742696,217.078225652,434.749408895,Cover Crop,,
Morse Reservoir-Cicero Creek,051202010610,0,9,0,0.977488980716,14.4676550565,15.0798745516,33.064263433,N/a,,
Dyers Creek-White River,051202010701,19,20,793.6,793.7,1532.54941619,2059.83678468,4111.21550611,Cover Crop,,
Headwaters Stony Creek,051202010702,4,4,51.1,51.1,93.582433738,117.19627659,234.23712766,Cover Crop,,
William Lock Dtich-Stony Creek,051202010703,1,5,29.4,34.9,64.7689267748,82.5073684323,164.922683667,Cover Crop,,
William Lehr Ditch-Stony Creek,051202010704,0,4,0,0.880212121212,8.13201040775,14.534369391,38.6687304295,N/a,,
Mallory Granger Ditch-White River,051202010705,0,3,0,9.11790633609,34,26,37,N/a,,
Honey Creek-Fall Creek,051202010801,0,0,0,0,0,0,0,N/a,,
Sly Fork,051202010802,0,0,0,0,0,0,0,N/a,,
Prairie Creek-Fall Creek,051202010804,0,2,0,0.00264003673095,2,2,4,N/a,,
Foster Branch,051202010806,0,1,0,15.4,336,490,976,N/a,,
Headwaters Mud Creek,051202010901,2,5,10.4,14.4,96.5883881013,113.098379153,227.161031833,Upland Wildlife Habitat Management,,
Cool Creek,051202011001,1,16,0.009182736,348.665235078,115.100804273,176.502981885,1538.99605342,Urban: Rain Garden,,
Dixon Branch-Eagle Creek,051202011101,4,4,91.69,91.69,170.41948767,242.87937885,484.50632473,Cover Crop,,
Mounts Run,051202011102,0,1,0,1.69880624426,12,12,24,N/a,,
Finley Creek-Eagle Creek,051202011103,7,11,357.8,360.9,870.73591193,1016.29734725,1930.60967171,Cover Crop,,
Lion Creek-Little Eagle Branch,051202011104,5,10,4.28,8.31213957759,83.1085593178,87.5318918556,174.334558839,Pollinator Habitat,,
Fleugel Ditch-Dausman Ditch,071200010306,0,0,0,0,0,0,0,N/a,,
Dausman Ditch,071200010308,5,5,145,145,193.65550379,232.56618662,465.8192715,Cover Crop,,
Stone Ditch-Yellow River,071200010310,5,10,263.5,271.292837466,307.464340508,358.061656503,720.009263374,Cover Crop,,
Town of Argos-Wolf Creek,071200010501,7,7,197.3,197.3,230.4,269.3,541.5,Cover Crop,,
Dixon Lake-Yellow River,071200010502,6,10,266.7766,273.782867218,402.369224723,498.070095168,998.323942643,"Residue and Tillage Management, No Till",,
Clifton Ditch-Yellow River,071200010503,0,0,0,0,0,0,0,N/a,,
Eagle Creek,071200010504,20,25,46.8,51.3045913682,32.0748506199,42.5373762488,85.8411769642,Early Successional Habitat Development-Mgt,,
Bickle Ditch-Yellow River,071200010505,9,11,44.3,99.3,47.217119483,74.544060913,150.760242524,Early Successional Habitat Development-Mgt,,
Cavanaugh Ditch-Yellow River,071200010506,25,27,82,82.0173094582,86.861568761,133.028575618,269.070163648,Conservation Cover,,
Hook Run-Bogus Run,071200010601,48,57,375.4,406.6,508.110654302,791.459271442,1601.00432646,Early Successional Habitat Development-Mgt,,
Cedar Lake Ditch-Craigmile Ditch,071200010602,34,45,285,345.251124885,242.760490674,378.75831415,731.137150082,Early Successional Habitat Development-Mgt,,
Craigmile Ditch-Kline Arm,071200010603,97,101,321.09,381.99,264.756832465,394.45690292,797.45287826,Early Successional Habitat Development-Mgt,,
Pine Creek-Bogus Run,071200010604,22,28,94.4,120.1,154.505810381,234.19672653,475.396116171,Early Successional Habitat Development-Mgt,,
Laramore Ditch-Kankakee River,071200010705,24,28,114.7,142.1,242.611277406,344.278225028,692.164319544,Conservation Cover,,
Hanna Arm Tuesburg Ditch,071200010802,3,3,12.5,12.5,22.129780466,25.596844826,51.462493314,Conservation Cover,,
Bessler Ditch-Pitner Ditch,071200010805,7,9,78.9,87.6,177.767780765,226.676029763,454.559238499,Conservation Cover,,
Origer Ditch-Kankakee River,071200010806,26,26,63,63,74.85991741,68.913038502,117.806254505,Conservation Cover,,
Rassmussen Ditch-Kankakee River,071200010807,155,175,828.64,892.64,466.023826375,665.498675985,1343.72301409,Early Successional Habitat Development-Mgt,,
Cook Ditch,071200010808,4,9,253.2,266.1,431.570923178,541.342371277,1082.20734885,Cover Crop,,
Davis Ditch-Kankakee River,071200010809,19,20,589.8,591.6,531.874310456,686.882120205,1378.24330627,"Residue and Tillage Management, No Till",,
Headwaters Wolf Creek,071200010901,0,3,0,16.8,9,13,27,N/a,,
Hickam Lateral-Wolf Creek,071200010902,11,20,401.4,472.165748393,216.195687309,319.317262492,644.726362671,Cover Crop,,
Delehanty Ditch-Hodge Ditch,071200010903,8,11,131.1,136.6,72.6516286102,102.088817468,206.27417213,Cover Crop,,
Cook Ditch-Hodge Ditch,071200010904,6,6,19.8,19.8,10.832216502,15.888384624,32.015363341,Conservation Cover,,
Reeves Ditch,071200011005,9,9,287.9,287.9,377.58393057,505.28551338,1009.66142524,Cover Crop,,
Hannon Ditch-Crooked Creek,071200011006,9,11,287.6,299.2,386.910633129,519.698051758,1039.49732543,Cover Crop,,
Ahlgrim Ditch,071200011008,8,8,342.4,342.4,572.36971919,725.35841676,1449.66209283,"Residue and Tillage Management, Reduced Till",,
Cornell Ditch-Phillips Ditch,071200011009,8,28,503.4,522.759090909,1621.71624368,1846.84227792,3691.04084575,Cover Crop,,
Cobb Creek-Kankakee River,071200011010,13,19,621.5,630.5,1210.0041084,1413.97504842,2824.99128452,Cover Crop,,
Dehaan Ditch,071200011101,15,22,446.9,462.44426079,214.091876707,288.727560131,583.255741515,Cover Crop,,
Wentworth Ditch-Knight Ditch,071200011102,20,31,939.1,984.3,754.265625925,1003.04033274,2016.89713396,"Residue and Tillage Management, Reduced Till",,
Brown Levee Ditch-Kankakee River,071200011103,12,14,99.2,113.7,82.5973631487,106.453603203,213.931678265,Cover Crop,,
Gregory Ditch-Mud Lake Ditch,071200011201,13,13,183.9,183.9,122.005438778,152.266041923,306.579263649,"Residue and Tillage Management, Reduced Till",,
Mud Lake Ditch-Beaver Lake Ditch,071200011202,0,0,0,0,0,0,0,N/a,,
Lawler Ditch-Beaver Lake Ditch,071200011203,8,14,68.6,714,401.184235264,625.191375401,1250.46035731,Cover Crop,,
Williams Ditch,071200011204,9,12,435.3,446.7,374.318851097,531.612933789,1065.37557572,Cover Crop,,
Beaver Lake Ditch-Kankakee River,071200011205,0,6,0,18.9,22.6069671224,26.6570385066,54.55989867,N/a,,
Fisher Pond- Stony Run,071200011302,4,12,103.61,128.830087236,251.396569925,306.22666785,609.24397142,Cover Crop,,
Spring Run,071200011303,1,1,10,10,14.29098295,20.39976545,40.75271995,Forage and Biomass Planting,,
Greisel Ditch,071200011304,0,0,0,0,0,0,0,N/a,,
Bryant Ditch-Singleton Ditch,071200011305,7,7,396.3,396.3,384.381829887,549.73100533,1098.09979935,Cover Crop,,
Cedar Creek,071200011306,1,2,50,50.3443526171,146.5,167.8,335.4,Cover Crop,,
Brown Ditch,071200011307,3,3,202.5,202.5,197.73802691,282.49165263,564.34830525,Cover Crop,,
Klaasville-West Creek,071200011309,0,15,0,27.5767676768,205.861460309,295.923300793,591.156893469,N/a,,
West Creek,071200011310,1,5,40,42.1120523416,65.5,82.7,166.2,Cover Crop,,
Bruce Ditch-Singleton Ditch,071200011311,12,25,562,588.1,644.530306439,902.202827224,1803.32882097,Cover Crop,,
Bull Creek-Singleton Ditch,071200011312,1,1,50,50,51.5,72.8,145.4,Cover Crop,,
Singleton Ditch,071200011313,0,0,0,0,0,0,0,N/a,,
Mirror Lake-Kankakee River,071200011403,0,0,0,0,0,0,0,N/a,,
Ringneck Lake-Oliver Ditch,071200020101,7,13,30.7,60.3,90.4061062636,139.056088311,282.332578643,Filter Strip,,
Lateral No 77 Ditch-Oliver Ditch,071200020102,7,9,32.4,34.7,18.2995379419,26.9598082369,54.4847237958,Conservation Cover,,
Jungles Ditch-Oliver Ditch,071200020103,11,14,23.3,46.6,24.6542130168,36.28327818,73.3255961558,Conservation Cover,,
Keefe Ditch,071200020201,6,15,11.5,56.8,82.9624869801,107.542781848,215.20560867,Conservation Cover,,
Jordan Ditch-Slough Creek,071200020202,8,26,331.3,397.2,218.386252206,301.932070675,607.918997185,Cover Crop,,
Nessius Ditch-Bice Ditch,071200020203,0,8,0,36,168.672441944,259.944326831,522.971615932,N/a,,
Headwaters Carpenter Creek,071200020204,5,11,151.4,168.6,320.534173516,398.691388636,795.115034066,Cover Crop,,
Carpenter Creek,071200020205,0,8,0,27.6,33.627221282,42.6636417299,86.0584324476,N/a,,
Bice Ditch-Slough Creek,071200020206,0,10,0,19.7,11.7965316849,17.8913950637,34.9848862988,N/a,,
Headwaters Iroquois River,071200020301,2,6,59.4,76,44.7997570661,58.7613923959,118.447706408,Cover Crop,,
Iliff Slough Lateral-Ryan Ditch,071200020302,6,10,2.12,15.42,57.9030858634,59.478794882,117.007931198,Critical Area Planting,,
Dexter Ditch-Iroquois River,071200020303,0,17,0,67.3,30.5973636543,41.7106772452,85.1375998117,N/a,,
Ryan Ditch,071200020304,0,8,0,7.3,146.054942569,146.71876297,291.180960212,N/a,,
Moore Ditch-Iroquois River,071200020305,0,4,0,9.73443526171,5.48212917002,21.7016110186,45.3369397313,N/a,,
Headwaters Curtis Creek,071200020401,44,71,927.8,1118.3,979.355509823,1590.9504862,6157.69391168,Cover Crop,,
Turner Ditch-Iroquois River,071200020402,6,26,34.3,82.1,119.804895206,140.673709533,286.155769762,Conservation Cover,,
Hunter Ditch,071200020403,9,18,355.3,376.3,531.787226023,582.185546016,1168.53123669,Cover Crop,,
Bower Ditch-Darroch Ditch,071200020404,2,8,226.9,239.6,187.45570026,227.55531831,462.5886993,"Residue and Tillage Management, Reduced Till",,
Hickory Branch-Iroquois River,071200020405,6,25,317.86,401.480661157,248.026727346,341.604060272,699.373428711,Cover Crop,,
Clark Ditch-Thompson Ditch,071200020501,14,18,449,452.8,365.479541902,446.416869378,898.031068563,"Residue and Tillage Management, No Till",,
Whaley Ditch,071200020502,6,11,396.8,455.6,306.15132302,389.126912556,783.227522753,"Residue and Tillage Management, Reduced Till",,
Strole Ditch-Iroquois River,071200020503,19,30,579.3,609.4,405.148935109,520.613314842,1047.46096511,Early Successional Habitat Development-Mgt,,
Headwaters Montgomery Ditch,071200020504,12,18,363.63,386.13,432.930099555,560.952866936,1121.55629281,Cover Crop,,
Kent Ditch-Montgomery Ditch,071200020505,5,6,360.7,363.5,427.182338228,580.216397494,1159.38806392,Conservation Cover,,
Montomery Ditch,071200020506,10,13,261.81,270.11,293.711561407,380.089267636,759.909379108,Cover Crop,,
North Sheldon South Concord Ditch-Iroquois River,071200020507,0,0,0,0,0,0,0,N/a,,
Blackstone Branch-Iroquois River,071200020508,0,0,0,0,0,0,0,N/a,,
Upper Sugar Creek-Sugar Creek,071200020701,16,18,713.6,714.013774105,1027.69368297,1336.81989218,2671.2632723,Cover Crop,,
Coon Creek-Mud Creek,071200020702,9,28,515.4,547.518112948,1792.2194209,2180.30586989,4356.77234813,Conservation Cover,,
Kult Ditch-Mud Creek,071200020703,12,15,158.66,184.66,439.022569865,572.021371656,1143.63925072,Lined Waterway or Outlet,,
Cole Creek-Mud Creek,071200020704,4,4,2.6,2.6,78.8,78.8,157.4,Grassed Waterway,,
Yeagers Curve-Sugar Creek,071200020705,2,10,152.6,170.021395776,389.688368825,512.477985715,1023.43994162,Conservation Cover,,
Town of Stockland,071200020706,0,2,0,0.0275482093664,2,2,4,N/a,,
Possum Trot Ditch,071200020709,0,0,0,0,0,0,0,N/a,,
Coon Creek,071200020710,0,0,0,0,0,0,0,N/a,,
Hanger Ditch-Beaver Creek,071200021301,0,2,0,14.3,8.57456109683,13.2561120009,25.7530424042,N/a,,
Deardruff Ditch-Beaver Creek,071200021302,5,5,156,156,101.71069881,128.50764493,258.80965486,Cover Crop,,
Carlson Ditch-Beaver Creek,071200021303,0,7,0,38.9,63.6702648474,105.678484974,204.619635522,N/a,,
Hooper Branch,071200021304,0,0,0,0,0,0,0,N/a,,
North Hooper-Beaver Creek,071200021305,0,0,0,0,0,0,0,N/a,,
Headwaters Little Beaver Creek,071200021306,0,0,0,0,0,0,0,N/a,,
